Brand,ProductName,ProductScore,ReviewCount,ProductPrice,Category,UserReview
Adidas,Adidas Ultra 4D 5.0 ,85,572 reviews,$220,running-shoes,4.7 
Adidas,Adidas Adizero Adios 4 ,90,"3,380 reviews",$81,running-shoes,4.5 
Adidas,Adidas X90004D ,88,69 reviews,$100,running-shoes,4.6 
Adidas,Adidas Adizero Adios 5 ,87,"1,312 reviews",$60,running-shoes,4.3 
Adidas,Adidas ZX 2K 4D ,68,21 reviews,$100,running-shoes,4.2 
Adidas,Adidas 4DFWD Pulse New ,71,68 reviews,$70,running-shoes,3.9 
Adidas,Adidas Adizero Pro ,89,657 reviews,$70,running-shoes,4.5 
Adidas,Adidas Ultraboost Guard ,81,53 reviews,NA,running-shoes,4.2 
Adidas,Adidas Terrex Agravic BOA ,88,"1,195 reviews",$110,running-shoes,4.5 
Adidas,Adidas Energy Falcon X ,80,"4,720 reviews",$35,running-shoes,4.5 
Adidas,Adidas Ultra 4D ,85,61 reviews,$220,running-shoes,4.1 
Adidas,Adidas Ultraboost DNA 1.0 ,86,400 reviews,$93,running-shoes,4.7 
Adidas,Adidas Adizero Boston 9 ,85,"1,617 reviews",$72,running-shoes,4.4 
Adidas,Adidas Ultraboost 20 ,92,"122,360 reviews",$73,running-shoes,4.7 
Adidas,Adidas Ultraboost 22 Lab test ,90,"17,077 reviews",$71,running-shoes,4.7 
Adidas,Adidas SolarGlide 4 ,84,692 reviews,$50,running-shoes,4.4 
Adidas,Adidas Ultraboost DNA ,91,"26,945 reviews",$37,running-shoes,4.6 
Adidas,Adidas Solarglide 5 ,87,"1,207 reviews",$53,running-shoes,4.5 
Adidas,Adidas Adizero Boston 8 ,89,"3,665 reviews",$140,running-shoes,4.5 
Adidas,Adidas Duramo 9 ,80,"35,814 reviews",$92,running-shoes,4.4 
Adidas,Adidas Adizero Adios Pro 2.0 Lab test ,93,897 reviews,$129,running-shoes,4.7 
Adidas,Adidas Adizero Takumi-Sen 6 ,81,192 reviews,$70,running-shoes,4.3 
Adidas,Adidas Terrex Two Flow ,88,"2,364 reviews",$49,running-shoes,4.6 
Adidas,Adidas Astrarun ,77,"3,058 reviews",$35,running-shoes,4.3 
Adidas,Adidas Solar Glide ST ,85,"7,314 reviews",$70,running-shoes,4.5 
Adidas,Adidas Solar Glide ST 19 ,83,650 reviews,$60,running-shoes,4.4 
Adidas,Adidas Adizero Adios 7 ,70,157 reviews,$70,running-shoes,4.1 
Adidas,Adidas Solar Glide 19 ,87,"9,850 reviews",$99,running-shoes,4.5 
Adidas,Adidas Galaxy 5 ,87,"34,574 reviews",$43,running-shoes,4.5 
Adidas,Adidas 4DFWD ,92,"1,056 reviews",$220,running-shoes,4.5 
Adidas,Adidas SL Loop CT ,87,147 reviews,$60,sneakers,4.4 
Adidas,Adidas Questar Drive  ,88,"2,224 reviews",NA,sneakers,4.4 
Adidas,Adidas Crazy 1 ADV ,84,222 reviews,$50,sneakers,4.2 
Adidas,Adidas EQT Support Ultra ,86,139 reviews,$85,sneakers,4.3 
Adidas,Adidas SL Rise ,89,166 reviews,$30,sneakers,4.4 
Adidas,Adidas NMD_R1 v2 ,94,"10,083 reviews",$60,sneakers,4.7 
Adidas,Adidas Yeezy QNTM ,73,15 reviews,$149,sneakers,4.1 
Adidas,Adidas Ninja ZX 2K Boost ,90,127 reviews,$70,sneakers,4.5 
Adidas,Adidas EQT Support RF Primeknit ,90,"2,129 reviews",$70,sneakers,4.5 
Adidas,Adidas NMD_R2 ,92,"27,131 reviews",$40,sneakers,4.6 
Adidas,Adidas EQT Support Ultra PK King Push ,88,302 reviews,$60,sneakers,4.4 
Adidas,Adidas 8K ,87,"3,499 reviews",NA,sneakers,4.4 
Adidas,Adidas NMD_R1 GTX ,86,8 reviews,$110,sneakers,4.8 
Adidas,Adidas NMD_CS1 Primeknit ,92,789 reviews,$295,sneakers,4.6 
Adidas,Adidas EQT Support Ultra Primeknit ,91,"11,340 reviews",$116,sneakers,4.6 
Adidas,Adidas V Racer 2.0 ,83,"22,006 reviews",NA,sneakers,4.1 
Adidas,Adidas Yeezy 350 Boost ,92,752 reviews,$329,sneakers,4.6 
Adidas,Adidas Varial Mid ,83,560 reviews,NA,sneakers,4.1 
Adidas,Adidas Crazy 8 ADV ,83,163 reviews,NA,sneakers,4.1 
Adidas,Adidas Court 70s ,87,119 reviews,NA,sneakers,4.3 
Adidas,Adidas Retropy E5 ,95,"2,010 reviews",$53,sneakers,4.7 
Adidas,Adidas NMD_R1 Primeknit ,91,"25,266 reviews",$55,sneakers,4.6 
Adidas,Adidas Baseline ,89,"1,553 reviews",$39,sneakers,4.4 
Adidas,Adidas Loop Racer ,89,101 reviews,NA,sneakers,4.5 
Adidas,Adidas Puig ,77,13 reviews,$65,sneakers,4.3 
Adidas,Adidas Lite Racer ,90,"39,173 reviews",$70,sneakers,4.5 
Adidas,Adidas Stan Smith Boost ,81,184 reviews,NA,sneakers,4.1 
Adidas,Adidas Questar BYD ,90,"10,263 reviews",$80,sneakers,4.5 
Adidas,Adidas ZX 750 ,90,"15,500 reviews",$90,sneakers,4.5 
Adidas,BAPE x Adidas NMD_R1 ,93,152 reviews,$219,sneakers,4.7 
Adidas,Adidas Pro Model 2G Low ,79,831 reviews,$36,basketball-shoes,4.5 
Adidas,Adidas Crazy BYW X 2.0 New ,83,29 reviews,$60,basketball-shoes,4.8 
Adidas,Adidas Harden Stepback 2 ,85,"2,028 reviews",$57,basketball-shoes,4.5 
Adidas,Adidas Harden Stepback 3 ,84,150 reviews,$54,basketball-shoes,4.3 
Adidas,Adidas Exhibit A ,86,61 reviews,$53,basketball-shoes,4.5 
Adidas,Adidas Trae Young 2 New ,58,22 reviews,$140,basketball-shoes,2.8 
Adidas,Adidas Pro Boost Low ,85,444 reviews,$35,basketball-shoes,4.3 
Adidas,Adidas Harden Vol. 5 ,77,794 reviews,$59,basketball-shoes,4.1 
Adidas,Adidas D Rose 4 ,84,14 reviews,$60,basketball-shoes,4.6 
Adidas,Adidas D Rose 11 ,88,397 reviews,$55,basketball-shoes,4.4 
Adidas,Adidas D Rose 7 ,88,306 reviews,NA,basketball-shoes,4.4 
Adidas,Adidas Dame 7 ,90,849 reviews,$40,basketball-shoes,4.5 
Adidas,Adidas Dame 8 ,90,825 reviews,$60,basketball-shoes,4.6 
Adidas,Adidas Trae Young 1 ,90,62 reviews,$76,basketball-shoes,4.5 
Adidas,Adidas Harden Vol. 6 ,90,238 reviews,$71,basketball-shoes,4.6 
Adidas,Adidas D.O.N. Issue #3 ,88,"1,127 reviews",$45,basketball-shoes,4.6 
Adidas,Adidas D.O.N. Issue #2 ,86,"6,290 reviews",$35,basketball-shoes,4.3 
Adidas,Adidas D Rose Son Of Chi ,87,398 reviews,$64,basketball-shoes,4.6 
Adidas,Adidas Exhibit B New ,84,6 reviews,$44,basketball-shoes,4.8 
Adidas,Adidas Yeezy BSKTBL Knit ,71,16 reviews,$185,basketball-shoes,4.1 
Adidas,Adidas T-Mac 1 New ,80,11 reviews,$80,basketball-shoes,5.0 
Adidas,Adidas Son Of Chi 2 ,87,7 reviews,NA,basketball-shoes,5.0 
Adidas,Adidas D.O.N. Issue #4 New ,78,32 reviews,$55,basketball-shoes,4.4 
Adidas,Adidas T-Mac 2.0 Restomod ,85,99 reviews,$50,basketball-shoes,4.6 
Adidas,Adidas N3xt L3v3l Futurenatural ,83,132 reviews,$70,basketball-shoes,4.3 
Adidas,Adidas J Wall 2 ,82,427 reviews,$140,basketball-shoes,4.5 
Adidas,Adidas D Lillard 2 ,90,397 reviews,$90,basketball-shoes,4.4 
Adidas,Adidas D Lillard ,85,118 reviews,$50,basketball-shoes,4.4 
Adidas,Adidas D Lillard 3 ,88,"1,118 reviews",$50,basketball-shoes,4.3 
Adidas,Adidas Explosive Bounce ,87,430 reviews,$140,basketball-shoes,4.4 
Adidas,Adidas Terrex Free Hiker Lab test ,91,"3,103 reviews",$100,hiking-boots,4.6 
Adidas,Adidas Terrex Free Hiker GTX ,89,"7,573 reviews",$120,hiking-boots,4.7 
Adidas,Adidas Terrex Pathmaker CP ,83,932 reviews,$86,hiking-boots,4.6 
Adidas,Adidas Terrex AX4 GTX ,83,"1,720 reviews",$207,hiking-boots,4.4 
Adidas,Adidas Terrex Skychaser LT Mid GTX ,88,218 reviews,$120,hiking-boots,4.4 
Adidas,Adidas Terrex Skychaser XT Mid GTX ,77,501 reviews,$276,hiking-boots,4.2 
Adidas,Adidas Terrex Trailmaker Mid ,82,238 reviews,$85,hiking-boots,4.5 
Adidas,Adidas Terrex AX3 Mid GTX ,80,"9,618 reviews",$225,hiking-boots,4.4 
Adidas,Adidas Terrex Swift R2 Mid GTX ,85,"15,971 reviews",$150,hiking-boots,4.5 
Adidas,Adidas Terrex Trailmaker Mid GTX ,82,"2,266 reviews",$102,hiking-boots,4.5 
Adidas,Adidas Terrex AX3 Beta Mid CW ,78,"1,315 reviews",$88,hiking-boots,4.3 
Adidas,Adidas Terrex Swift R3 Mid GTX ,83,"1,083 reviews",$126,hiking-boots,4.5 
Adidas,Adidas Terrex Hydro Lace ,81,139 reviews,NA,hiking-boots,4.3 
Adidas,Adidas Terrex Free Hyperblue Mid ,82,5 reviews,$140,hiking-boots,5.0 
Adidas,Adidas Edge Lux 5 New ,75,721 reviews,NA,training-shoes,4.1 
Adidas,Adidas Powerlift 5 ,87,87 reviews,$31,training-shoes,4.6 
