,Brand,ProductName,ProductScore,ReviewCount,ProductPrice,Category,UserReview
0,Adidas,Adidas Adizero Adios 4 ,90,3380,85,running-shoes,4.5
1,Adidas,Adidas X90004D ,87,67,100,running-shoes,4.5
2,Adidas,Adidas Adizero Adios 5 ,87,1312,60,running-shoes,4.3
3,Adidas,Adidas ZX 2K 4D ,68,21,100,running-shoes,4.2
4,Adidas,Adidas 4DFWD Pulse New ,71,68,80,running-shoes,3.9
5,Adidas,Adidas Adizero Pro ,89,657,70,running-shoes,4.5
7,Adidas,Adidas Terrex Agravic BOA ,88,1195,110,running-shoes,4.5
8,Adidas,Adidas Energy Falcon X ,80,4720,37,running-shoes,4.5
9,Adidas,Adidas Ultra 4D ,85,61,176,running-shoes,4.1
10,Adidas,Adidas Ultraboost DNA 1.0 ,86,400,95,running-shoes,4.7
11,Adidas,Adidas Adizero Boston 9 ,85,1617,72,running-shoes,4.4
12,Adidas,Adidas Ultraboost 20 ,92,122360,60,running-shoes,4.7
13,Adidas,Adidas Ultraboost 22 Lab test ,90,17077,62,running-shoes,4.7
14,Adidas,Adidas SolarGlide 4 ,84,692,50,running-shoes,4.4
15,Adidas,Adidas Ultraboost DNA ,91,26945,38,running-shoes,4.6
16,Adidas,Adidas Solarglide 5 ,87,1207,53,running-shoes,4.5
17,Adidas,Adidas Adizero Boston 8 ,89,3665,140,running-shoes,4.5
18,Adidas,Adidas Duramo 9 ,80,35814,65,running-shoes,4.4
19,Adidas,Adidas Adizero Adios Pro 2.0 Lab test ,93,897,129,running-shoes,4.7
20,Adidas,Adidas Adizero Takumi-Sen 6 ,81,192,70,running-shoes,4.3
21,Adidas,Adidas Terrex Two Flow ,88,2361,50,running-shoes,4.6
22,Adidas,Adidas Astrarun ,77,3058,38,running-shoes,4.3
23,Adidas,Adidas Solar Glide ST ,85,7314,70,running-shoes,4.5
24,Adidas,Adidas Solar Glide ST 19 ,83,650,60,running-shoes,4.4
25,Adidas,Adidas Adizero Adios 7 ,70,157,70,running-shoes,4.1
26,Adidas,Adidas Solar Glide 19 ,87,9850,99,running-shoes,4.5
27,Adidas,Adidas Galaxy 5 ,87,34574,43,running-shoes,4.5
28,Adidas,Adidas 4DFWD ,92,1056,220,running-shoes,4.5
29,Adidas,Adidas Questar Flow NXT ,76,16321,27,running-shoes,4.2
30,Adidas,Adidas SL Loop CT ,87,147,60,sneakers,4.4
32,Adidas,Adidas Crazy 1 ADV ,84,222,50,sneakers,4.2
33,Adidas,Adidas EQT Support Ultra ,86,139,85,sneakers,4.3
34,Adidas,Adidas SL Rise ,89,166,30,sneakers,4.4
35,Adidas,Adidas NMD_R1 v2 ,94,10083,60,sneakers,4.7
36,Adidas,Adidas Yeezy QNTM ,73,15,149,sneakers,4.1
37,Adidas,Adidas Ninja ZX 2K Boost ,90,127,70,sneakers,4.5
38,Adidas,Adidas EQT Support RF Primeknit ,90,2129,70,sneakers,4.5
39,Adidas,Adidas NMD_R2 ,92,27131,40,sneakers,4.6
40,Adidas,Adidas EQT Support Ultra PK King Push ,88,302,60,sneakers,4.4
42,Adidas,Adidas NMD_R1 GTX ,86,8,110,sneakers,4.8
43,Adidas,Adidas NMD_CS1 Primeknit ,92,789,295,sneakers,4.6
44,Adidas,Adidas EQT Support Ultra Primeknit ,91,11340,116,sneakers,4.6
46,Adidas,Adidas Yeezy 350 Boost ,92,752,329,sneakers,4.6
50,Adidas,Adidas Retropy E5 ,95,2010,50,sneakers,4.7
51,Adidas,Adidas NMD_R1 Primeknit ,91,25266,55,sneakers,4.6
52,Adidas,Adidas Baseline ,89,1553,39,sneakers,4.4
54,Adidas,Adidas Puig ,77,13,65,sneakers,4.3
55,Adidas,Adidas Lite Racer ,90,39173,70,sneakers,4.5
57,Adidas,Adidas Questar BYD ,90,10263,80,sneakers,4.5
58,Adidas,Adidas ZX 750 ,90,15500,90,sneakers,4.5
59,Adidas,BAPE x Adidas NMD_R1 ,93,152,219,sneakers,4.7
60,Adidas,Adidas Pro Model 2G Low ,79,831,38,basketball-shoes,4.5
61,Adidas,Adidas Crazy BYW X 2.0 New ,83,29,60,basketball-shoes,4.8
